avg_arr_delay,avg_carrier_delay,op_unique_carrier
2.05628727957839,12.41007950411,QX
6.43923773820681,13.7231145251397,EM
0.458070929415826,13.7865306721125,AS
4.44292418376164,14.3262123477889,PT
3.9466176212438,14.3339924440667,YX
5.13504346434857,14.3478932401807,NK
6.19253778652698,14.6848800630776,MQ
1.7279776132455,15.4328488372093,VX
7.03103949183786,16.0609460640241,UA
3.54997553748894,16.7402904800601,WN
7.45728919502942,17.9703940019481,OH
11.2941488682438,19.1907410124725,F9
23.2972264054973,19.6064091045223,C5
3.78825376833048,20.5449199312404,9E
6.20912791038777,21.5460572346771,AA
17.3620949510173,22.2796442687747,KS
7.34772244312951,23.1227282870106,ZW
0.464917266347182,23.4552798213828,DL
11.3289058768938,24.8266802195045,B6
15.6141083728361,25.2026166293682,AX
8.64522308438409,25.4005774840745,G7
9.6820033833388,26.1754882441109,YV
8.94875147143537,26.3263583652857,G4
5.75292040063258,26.4362724258141,CP
-1.41389728096677,26.7702702702703,9K
11.4602180918349,27.3176557366056,EV
0.747958866063305,27.3709013016971,HA
7.1555290563033,27.6651323088544,OO
